PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] BatchNormalizer: in=[(512, 96, 112, 112), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1)] -> out=(512, 96, 112, 112) | time=348.09 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=7.11 GB/16.01 GB
[PROFILE] ReLU6: in=[(512, 96, 112, 112)] -> out=(512, 96, 112, 112) | time=3.68 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=8.34 GB/16.01 GB
[PROFILE] Pad: in=[(512, 96, 112, 112)] -> out=(512, 96, 113, 113) | time=5.25 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=8.36 GB/16.01 GB
[PROFILE] SlidingWindowView: in=[(512, 96, 113, 113)] -> out=(512, 96, 56, 56, 3, 3) | time=1.55 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=8.36 GB/16.01 GB
[PROFILE] Cast: in=[(96, 3, 3)] -> out=(96, 3, 3) | time=72.0 μs | drv used/total=16.56 GB/85.10 GB | pool used/total=8.36 GB/16.01 GB
[PROFILE] EinSum: in=[(512, 96, 56, 56, 3, 3), (96, 3, 3)] -> out=(512, 96, 56, 56) | time=28.69 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=8.67 GB/21.56 GB
[PROFILE] Mean: in=[(512, 96, 56, 56)] -> out=(1, 96, 1, 1) | time=2.10 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=8.67 GB/21.56 GB
[PROFILE] Var: in=[(512, 96, 56, 56)] -> out=(1, 96, 1, 1) | time=63.94 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=8.67 GB/21.56 GB
[PROFILE] BatchNormalizer: in=[(512, 96, 56, 56), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1)] -> out=(512, 96, 56, 56) | time=4.95 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=8.98 GB/21.56 GB
[PROFILE] ReLU6: in=[(512, 96, 56, 56)] -> out=(512, 96, 56, 56) | time=966.9 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.29 GB/21.56 GB
[PROFILE] SlidingWindowView: in=[(512, 96, 56, 56)] -> out=(512, 96, 56, 56, 1, 1) | time=340.3 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.29 GB/21.56 GB
[PROFILE] Cast: in=[(24, 96, 1, 1)] -> out=(24, 96, 1, 1) | time=67.9 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.29 GB/21.56 GB
[PROFILE] EinSum: in=[(512, 96, 56, 56, 1, 1), (24, 96, 1, 1)] -> out=(512, 24, 56, 56) | time=2.83 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.37 GB/21.56 GB
[PROFILE] Mean: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=2.06 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.37 GB/21.56 GB
[PROFILE] Var: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=36.38 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.37 GB/21.56 GB
[PROFILE] BatchNormalizer: in=[(512, 24, 56, 56), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1)] -> out=(512, 24, 56, 56) | time=1.34 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.44 GB/21.56 GB
[PROFILE] Passthrough: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=20.3 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.44 GB/21.56 GB
[PROFILE] SlidingWindowView: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56, 1, 1) | time=313.5 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.44 GB/21.56 GB
[PROFILE] Cast: in=[(144, 24, 1, 1)] -> out=(144, 24, 1, 1) | time=65.6 μs | drv used/total=22.11 GB/85.10 GB | pool used/total=9.44 GB/21.56 GB
[PROFILE] EinSum: in=[(512, 24, 56, 56, 1, 1), (144, 24, 1, 1)] -> out=(512, 144, 56, 56) | time=2.91 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.90 GB/21.56 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=2.28 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.90 GB/21.56 GB
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=66.36 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=9.90 GB/21.56 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.34 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=10.37 GB/21.56 GB
