[PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] BatchNormalizer: in=[(512, 96, 112, 112), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1)] -> out=(512, 96, 112, 112) | time=22.82 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=6.60 GB/15.77 GB
[PROFILE] ReLU6: in=[(512, 96, 112, 112)] -> out=(512, 96, 112, 112) | time=4.04 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=7.83 GB/15.77 GB
[PROFILE] Pad: in=[(512, 96, 112, 112)] -> out=(512, 96, 113, 113) | time=10.83 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=7.86 GB/15.77 GB
[PROFILE] SlidingWindowView: in=[(512, 96, 113, 113)] -> out=(512, 96, 56, 56, 3, 3) | time=3.98 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=7.86 GB/15.77 GB
[PROFILE] Cast: in=[(96, 3, 3)] -> out=(96, 3, 3) | time=232.1 μs | drv used/total=16.29 GB/85.10 GB | pool used/total=7.86 GB/15.77 GB
[PROFILE] EinSum: in=[(512, 96, 56, 56, 3, 3), (96, 3, 3)] -> out=(512, 96, 56, 56) | time=28.77 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.18 GB/21.32 GB
[PROFILE] Mean: in=[(512, 96, 56, 56)] -> out=(1, 96, 1, 1) | time=2.35 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.18 GB/21.32 GB
[PROFILE] Var: in=[(512, 96, 56, 56)] -> out=(1, 96, 1, 1) | time=5.81 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.18 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 96, 56, 56), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1), (1, 96, 1, 1)] -> out=(512, 96, 56, 56) | time=5.42 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.49 GB/21.32 GB
[PROFILE] ReLU6: in=[(512, 96, 56, 56)] -> out=(512, 96, 56, 56) | time=982.4 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.80 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 96, 56, 56)] -> out=(512, 96, 56, 56, 1, 1) | time=913.7 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.80 GB/21.32 GB
[PROFILE] Cast: in=[(24, 96, 1, 1)] -> out=(24, 96, 1, 1) | time=77.3 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.80 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 96, 56, 56, 1, 1), (24, 96, 1, 1)] -> out=(512, 24, 56, 56) | time=3.07 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.88 GB/21.32 GB
[PROFILE] Mean: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=1.10 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.88 GB/21.32 GB
[PROFILE] Var: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=3.52 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.88 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 24, 56, 56), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1)] -> out=(512, 24, 56, 56) | time=1.66 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=8.96 GB/21.32 GB
[PROFILE] Passthrough: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=24.6 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.96 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56, 1, 1) | time=707.1 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.96 GB/21.32 GB
[PROFILE] Cast: in=[(144, 24, 1, 1)] -> out=(144, 24, 1, 1) | time=68.7 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=8.96 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 24, 56, 56, 1, 1), (144, 24, 1, 1)] -> out=(512, 144, 56, 56) | time=3.39 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=9.42 GB/21.32 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=3.56 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=9.43 GB/21.32 GB
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=8.26 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=9.43 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.67 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=9.89 GB/21.32 GB
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.85 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=10.36 GB/21.32 GB
[PROFILE] Pad: in=[(512, 144, 56, 56)] -> out=(512, 144, 58, 58) | time=6.59 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=10.39 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 58, 58)] -> out=(512, 144, 56, 56, 3, 3) | time=1.25 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=10.39 GB/21.32 GB
[PROFILE] Cast: in=[(144, 3, 3)] -> out=(144, 3, 3) | time=74.0 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=10.39 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 144, 56, 56, 3, 3), (144, 3, 3)] -> out=(512, 144, 56, 56) | time=43.00 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=10.87 GB/29.65 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=3.44 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=10.88 GB/29.65 GB
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=8.22 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=10.88 GB/29.65 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.54 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.34 GB/29.65 GB
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.49 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.81 GB/29.65 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56, 1, 1) | time=737.6 μs | drv used/total=30.16 GB/85.10 GB | pool used/total=11.81 GB/29.65 GB
[PROFILE] Cast: in=[(24, 144, 1, 1)] -> out=(24, 144, 1, 1) | time=119.2 μs | drv used/total=30.16 GB/85.10 GB | pool used/total=11.81 GB/29.65 GB
[PROFILE] EinSum: in=[(512, 144, 56, 56, 1, 1), (24, 144, 1, 1)] -> out=(512, 24, 56, 56) | time=5.33 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.89 GB/29.65 GB
[PROFILE] Mean: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=2.74 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.89 GB/29.65 GB
[PROFILE] Var: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=2.73 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.89 GB/29.65 GB
[PROFILE] BatchNormalizer: in=[(512, 24, 56, 56), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1)] -> out=(512, 24, 56, 56) | time=1.36 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=11.97 GB/29.65 GB
[PROFILE] Passthrough: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=26.1 μs | drv used/total=30.16 GB/85.10 GB | pool used/total=11.97 GB/29.65 GB
[PROFILE] Add: in=[(512, 24, 56, 56), (512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=1.45 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=12.04 GB/29.65 GB
[PROFILE] SlidingWindowView: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56, 1, 1) | time=941.9 μs | drv used/total=30.16 GB/85.10 GB | pool used/total=12.04 GB/29.65 GB
[PROFILE] Cast: in=[(144, 24, 1, 1)] -> out=(144, 24, 1, 1) | time=116.7 μs | drv used/total=30.16 GB/85.10 GB | pool used/total=12.04 GB/29.65 GB
[PROFILE] EinSum: in=[(512, 24, 56, 56, 1, 1), (144, 24, 1, 1)] -> out=(512, 144, 56, 56) | time=3.46 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=12.51 GB/29.65 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=3.69 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=12.51 GB/29.65 GB
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=8.63 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=12.51 GB/29.65 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.67 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=12.98 GB/29.65 GB
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.46 ms | drv used/total=30.16 GB/85.10 GB | pool used/total=13.44 GB/29.65 GB
[PROFILE] Pad: in=[(512, 144, 56, 56)] -> out=(512, 144, 57, 57) | time=13.15 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.47 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 57, 57)] -> out=(512, 144, 28, 28, 3, 3) | time=13.14 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.47 GB/21.32 GB
[PROFILE] Cast: in=[(144, 3, 3)] -> out=(144, 3, 3) | time=212.8 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=13.47 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 144, 28, 28, 3, 3), (144, 3, 3)] -> out=(512, 144, 28, 28) | time=12.36 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.59 GB/21.32 GB
[PROFILE] Mean: in=[(512, 144, 28, 28)] -> out=(1, 144, 1, 1) | time=4.11 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.59 GB/21.32 GB
[PROFILE] Var: in=[(512, 144, 28, 28)] -> out=(1, 144, 1, 1) | time=4.48 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.59 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 28, 28), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 28, 28) | time=2.93 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.71 GB/21.32 GB
[PROFILE] ReLU6: in=[(512, 144, 28, 28)] -> out=(512, 144, 28, 28) | time=1.47 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.83 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 28, 28)] -> out=(512, 144, 28, 28, 1, 1) | time=1.77 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.83 GB/21.32 GB
[PROFILE] Cast: in=[(32, 144, 1, 1)] -> out=(32, 144, 1, 1) | time=75.5 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=13.83 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 144, 28, 28, 1, 1), (32, 144, 1, 1)] -> out=(512, 32, 28, 28) | time=1.58 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.85 GB/21.32 GB
[PROFILE] Mean: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=1.29 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.85 GB/21.32 GB
[PROFILE] Var: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=4.50 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.86 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 28, 28), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 28, 28) | time=1.60 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=13.88 GB/21.32 GB
[PROFILE] Passthrough: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=27.6 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=13.88 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28, 1, 1) | time=504.6 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=13.88 GB/21.32 GB
[PROFILE] Cast: in=[(192, 32, 1, 1)] -> out=(192, 32, 1, 1) | time=77.1 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=13.88 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 32, 28, 28, 1, 1), (192, 32, 1, 1)] -> out=(512, 192, 28, 28) | time=1.77 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.04 GB/21.32 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=1.16 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.04 GB/21.32 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=3.10 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.04 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=3.67 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.20 GB/21.32 GB
